Address,unit,street_no,str_name,str_type,str_dir,city
"5, 33 STONEGATE DR NW, AIRDRIE",5,33,STONEGATE,DR,NW,AIRDRIE
"307, 2445 KINGSLAND RD SE, AIRDRIE",307,2445,KINGSLAND,RD,SE,AIRDRIE
"26, 505 EDMONTON TR NE, AIRDRIE",26,505,EDMONTON,TR,NE,AIRDRIE
"6, 33 STONEGATE DR NW, AIRDRIE",6,33,STONEGATE,DR,NW,AIRDRIE
"306, 2445 KINGSLAND RD SE, AIRDRIE",306,2445,KINGSLAND,RD,SE,AIRDRIE
"27, 505 EDMONTON TR NE, AIRDRIE",27,505,EDMONTON,TR,NE,AIRDRIE
"7, 33 STONEGATE DR NW, AIRDRIE",7,33,STONEGATE,DR,NW,AIRDRIE
"28, 505 EDMONTON TR NE, AIRDRIE",28,505,EDMONTON,TR,NE,AIRDRIE
"29, 505 EDMONTON TR NE, AIRDRIE",29,505,EDMONTON,TR,NE,AIRDRIE
"30, 505 EDMONTON TR NE, AIRDRIE",30,505,EDMONTON,TR,NE,AIRDRIE
"31, 505 EDMONTON TR NE, AIRDRIE",31,505,EDMONTON,TR,NE,AIRDRIE
"21, 1008 WOODSIDE WY NW, AIRDRIE",21,1008,WOODSIDE,WY,NW,AIRDRIE
"22, 1008 WOODSIDE WY NW, AIRDRIE",22,1008,WOODSIDE,WY,NW,AIRDRIE
"23, 1008 WOODSIDE WY NW, AIRDRIE",23,1008,WOODSIDE,WY,NW,AIRDRIE
"24, 1008 WOODSIDE WY NW, AIRDRIE",24,1008,WOODSIDE,WY,NW,AIRDRIE
"25, 1008 WOODSIDE WY NW, AIRDRIE",25,1008,WOODSIDE,WY,NW,AIRDRIE
"26, 1008 WOODSIDE WY NW, AIRDRIE",26,1008,WOODSIDE,WY,NW,AIRDRIE
"27, 1008 WOODSIDE WY NW, AIRDRIE",27,1008,WOODSIDE,WY,NW,AIRDRIE
"28, 1008 WOODSIDE WY NW, AIRDRIE",28,1008,WOODSIDE,WY,NW,AIRDRIE
"29, 1008 WOODSIDE WY NW, AIRDRIE",29,1008,WOODSIDE,WY,NW,AIRDRIE
"30, 1008 WOODSIDE WY NW, AIRDRIE",30,1008,WOODSIDE,WY,NW,AIRDRIE
"4, 12 SILVER CREEK BV NW, AIRDRIE",4,12,SILVER CREEK,BV,NW,AIRDRIE
"1601, 2445 KINGSLAND RD SE, AIRDRIE",1601,2445,KINGSLAND,RD,SE,AIRDRIE
"5, 12 SILVER CREEK BV NW, AIRDRIE",5,12,SILVER CREEK,BV,NW,AIRDRIE
"1602, 2445 KINGSLAND RD SE, AIRDRIE",1602,2445,KINGSLAND,RD,SE,AIRDRIE
"6, 12 SILVER CREEK BV NW, AIRDRIE",6,12,SILVER CREEK,BV,NW,AIRDRIE
"1603, 2445 KINGSLAND RD SE, AIRDRIE",1603,2445,KINGSLAND,RD,SE,AIRDRIE
